canton,population,holidays_start,holidays_end
Aargau,663500,2021-04-12,2021-04-23
Ausserrhoden,55000,2021-04-12,2021-04-23
Basel-Land,285600,2021-03-27,2021-04-11
Graubünden,197600,2021-04-19,2021-04-30
Uri,36100,2021-05-01,2021-05-16
Innerrhoden,16000,2021-04-10,2021-04-25
Basel-Stadt,193100,2021-03-27,2021-04-10
Bern,1026500,2021-04-10,2021-04-25
Freiburg,311900,2021-04-02,2021-04-16
Genf,489500,2021-04-01,2021-04-09
Glarus,40100,2021-04-02,2021-04-18
Jura,73100,2021-04-02,2021-04-16
Luzern,403400,2021-04-02,2021-04-18
Neuenburg,178600,2021-04-02,2021-04-16
Nidwalden,42600,2021-04-02,2021-04-18
Obwalden,37400,2021-04-02,2021-04-18
Schaffhausen,80800,2021-04-17,2021-05-02
Schwyz,155900,2021-05-03,2021-05-14
Solothurn,269400,2021-04-12,2021-04-23
Tessin,354400,2021-04-02,2021-04-11
Thurgau,270700,2021-04-02,2021-04-18
Waadt,784800,2021-04-02,2021-04-18
Wallis,339200,2021-05-10,2021-05-14
Zug,123900,2021-04-17,2021-05-02
Zürich,1488000,2021-04-26,2021-05-08
Aargau,663500,2022-04-11,2022-04-22
Ausserrhoden,55000,2022-04-11,2022-04-22
Basel-Land,285600,2022-03-26,2022-04-10
Graubünden,197600,2022-04-18,2022-04-29
Uri,36100,2022-04-30,2022-05-15
Innerrhoden,16000,2022-04-09,2022-04-24
Basel-Stadt,193100,2022-03-26,2022-04-09
Bern,1026500,2022-04-09,2022-04-24
Freiburg,311900,2022-04-01,2022-04-15
Genf,489500,2022-03-31,2022-04-08
Glarus,40100,2022-04-01,2022-04-17
Jura,73100,2022-04-01,2022-04-15
Luzern,403400,2022-04-01,2022-04-17
Neuenburg,178600,2022-04-01,2022-04-15
Nidwalden,42600,2022-04-01,2022-04-17
Obwalden,37400,2022-04-01,2022-04-17
Schaffhausen,80800,2022-04-16,2022-05-01
Schwyz,155900,2022-05-02,2022-05-13
Solothurn,269400,2022-04-11,2022-04-22
Tessin,354400,2022-04-01,2022-04-10
Thurgau,270700,2022-04-01,2022-04-17
Waadt,784800,2022-04-01,2023-04-17
Wallis,339200,2022-05-09,2022-05-13
Zug,123900,2022-04-16,2022-05-01
Zürich,1488000,2022-04-25,2022-05-07
Aargau,663500,2021-07-19,2021-08-19
Ausserrhoden,55000,2021-07-12,2021-08-13
Basel-Land,285600,2021-07-03,2021-08-15
Graubünden,197600,2021-07-01,2021-08-15
Uri,36100,2021-07-03,2021-08-15
Innerrhoden,16000,2021-07-03,2021-08-15
Basel-Stadt,193100,2021-07-03,2021-08-14
Bern,1026500,2021-07-03,2021-08-15
Freiburg,311900,2021-07-12,2021-08-25
Genf,489500,2021-07-05,2021-08-29
Glarus,40100,2021-07-03,2021-08-15
Jura,73100,2021-07-05,2021-08-13
Luzern,403400,2021-07-10,2021-08-22
Neuenburg,178600,2021-07-05,2021-08-13
Nidwalden,42600,2021-07-10,2021-08-29
Obwalden,37400,2021-07-03,2021-08-15
Schaffhausen,80800,2021-07-10,2021-08-15
Schwyz,155900,2021-07-12,2021-08-20
Solothurn,269400,2021-07-12,2021-08-13
Tessin,354400,2021-06-19,2021-08-29
Thurgau,270700,2021-07-12,2021-08-15
Waadt,784800,2021-07-03,2021-08-22
Wallis,339200,2021-06-28,2021-08-13
Zug,123900,2021-07-03,2021-08-15
Zürich,1488000,2021-07-19,2021-08-21
Aargau,663500,2022-07-18,2022-07-18
Ausserrhoden,55000,2022-07-11,2022-08-12
Basel-Land,285600,2022-07-02,2022-08-14
Graubünden,197600,2022-06-30,2022-08-14
Uri,36100,2022-07-02,2022-08-14
Innerrhoden,16000,2022-07-02,2022-08-14
Basel-Stadt,193100,2022-07-02,2022-08-13
Bern,1026500,2022-07-02,2022-08-14
Freiburg,311900,2022-07-11,2022-08-24
Genf,489500,2022-07-04,2022-08-28
Glarus,40100,2022-07-02,2022-08-14
Jura,73100,2022-07-04,2022-08-12
Luzern,403400,2022-07-09,2022-08-21
Neuenburg,178600,2022-07-04,2022-08-12
Nidwalden,42600,2022-07-09,2022-08-28
Obwalden,37400,2022-07-02,2022-08-14
Schaffhausen,80800,2022-07-09,2022-08-14
Schwyz,155900,2022-07-11,2022-08-19
Solothurn,269400,2022-07-11,2022-08-12
Tessin,354400,2022-06-18,2022-08-28
Thurgau,270700,2022-07-11,2022-08-14
Waadt,784800,2022-07-02,2022-08-21
Wallis,339200,2022-06-27,2022-08-12
Zug,123900,2022-07-02,2022-08-14
Zürich,1488000,2022-07-18,2022-08-20
Aargau,663500,2021-10-04,2021-10-15
Ausserrhoden,55000,2021-10-11,2021-10-22
Basel-Land,285600,2021-10-02,2021-10-17
Graubünden,197600,2021-10-11,2021-10-22
Uri,36100,2021-10-02,2021-10-17
Innerrhoden,16000,2021-10-09,2021-10-24
Basel-Stadt,193100,2021-10-02,2021-10-16
Bern,1026500,2021-09-25,2021-10-17
Freiburg,311900,2021-10-18,2021-10-29
Genf,489500,2021-10-25,2022-09-29
Glarus,40100,2021-10-09,2021-10-24
Jura,73100,2021-10-11,2021-10-22
Luzern,403400,2021-10-02,2021-10-17
Neuenburg,178600,2021-10-04,2021-10-15
Nidwalden,42600,2021-10-02,2021-10-17
Obwalden,37400,2021-10-02,2021-10-24
Schaffhausen,80800,2021-10-02,2021-10-24
Schwyz,155900,2021-10-04,2021-10-15
Solothurn,269400,2021-10-04,2021-10-22
Tessin,354400,2021-10-30,2021-11-07
Thurgau,270700,2021-10-11,2021-10-24
Waadt,784800,2021-10-16,2021-10-31
Wallis,339200,2021-10-11,2021-10-22
Zug,123900,2021-10-02,2021-10-17
Zürich,1488000,2021-10-11,2021-10-23
Aargau,663500,2022-10-03,2022-10-14
Ausserrhoden,55000,2022-10-10,2022-10-21
Basel-Land,285600,2022-10-01,2022-10-16
Graubünden,197600,2022-10-10,2022-10-21
Uri,36100,2022-10-01,2022-10-16
Innerrhoden,16000,2022-10-08,2022-10-23
Basel-Stadt,193100,2022-10-01,2022-10-15
Bern,1026500,2022-09-24,2022-10-16
Freiburg,311900,2022-10-17,2022-10-28
Genf,489500,2022-10-24,2023-09-28
Glarus,40100,2022-10-08,2022-10-23
Jura,73100,2022-10-10,2022-10-21
Luzern,403400,2022-10-01,2022-10-16
Neuenburg,178600,2022-10-03,2022-10-14
Nidwalden,42600,2022-10-01,2022-10-16
Obwalden,37400,2022-10-01,2022-10-23
Schaffhausen,80800,2022-10-01,2022-10-23
Schwyz,155900,2022-10-03,2022-10-14
Solothurn,269400,2022-10-03,2022-10-21
Tessin,354400,2022-10-29,2022-11-06
Thurgau,270700,2022-10-10,2022-10-23
Waadt,784800,2022-10-15,2022-10-30
Wallis,339200,2022-10-10,2022-10-21
Zug,123900,2022-10-01,2022-10-16
Zürich,1488000,2022-10-10,2022-10-22
national,7917100,2021-01-01,2021-01-01
national,7917100,2021-04-02,2021-04-05
national,7917100,2021-05-13,2021-05-13
national,7917100,2021-05-24,2021-05-24
national,7917100,2021-08-01,2021-08-01
national,7917100,2021-12-25,2021-12-26
national,7917100,2022-01-01,2022-01-01
national,7917100,2022-04-15,2022-04-18
national,7917100,2022-05-26,2022-05-26
national,7917100,2022-06-06,2022-06-06
national,7917100,2022-08-01,2022-08-01
national,7917100,2022-12-25,2022-12-26
